person,personLabel,value,valueLabel,Born,Pa
http://www.wikidata.org/entity/Q29865158,Lev Kell,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1912-11-19T00:00:00Z,http://www.wikidata.org/entity/Q4219139
http://www.wikidata.org/entity/Q4322665,Dmitry Novikov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1970-01-01T00:00:00Z,http://www.wikidata.org/entity/Q4322619
http://www.wikidata.org/entity/Q4099701,L. F. Burlachuk,http://www.wikidata.org/entity/Q17281156,Doktor Nauk in Psychology,1947-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12085767
http://www.wikidata.org/entity/Q60831175,Q60831175,http://www.wikidata.org/entity/Q17281153,Doktor Nauk in Agriculture,1955-11-11T00:00:00Z,http://www.wikidata.org/entity/Q60831626
http://www.wikidata.org/entity/Q12097030,Q12097030,http://www.wikidata.org/entity/Q17281156,Doktor Nauk in Psychology,1955-02-13T00:00:00Z,http://www.wikidata.org/entity/Q16172488
http://www.wikidata.org/entity/Q63368579,Armen Margaryan,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1956-10-12T00:00:00Z,http://www.wikidata.org/entity/Q63373348
http://www.wikidata.org/entity/Q2833388,Alexander Alexandrowitsch Herzen,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1839-06-25T00:00:00Z,http://www.wikidata.org/entity/Q201221
http://www.wikidata.org/entity/Q4255392,Delir Gasemovich Lahuti,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1934-04-26T00:00:00Z,http://www.wikidata.org/entity/Q126783
http://www.wikidata.org/entity/Q4062650,Iossif Grigorjewitsch Allilujew,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1945-05-22T00:00:00Z,http://www.wikidata.org/entity/Q4302955
http://www.wikidata.org/entity/Q73288,Edmund Rose,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1836-10-10T00:00:00Z,http://www.wikidata.org/entity/Q64561
http://www.wikidata.org/entity/Q4399487,Mikhail Rudnev,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1837-11-12T00:00:00Z,http://www.wikidata.org/entity/Q55587380
http://www.wikidata.org/entity/Q1340161,Francis Parkman,http://www.wikidata.org/entity/Q17281156,Doktor Nauk in Psychology,1823-09-16T00:00:00Z,http://www.wikidata.org/entity/Q95718046
http://www.wikidata.org/entity/Q1231098,Géza Pattantyús-Ábrahám,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1885-12-11T00:00:00Z,http://www.wikidata.org/entity/Q12352960
http://www.wikidata.org/entity/Q109621587,Q109621587,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1960-01-31T00:00:00Z,http://www.wikidata.org/entity/Q12117772
http://www.wikidata.org/entity/Q18747480,Georgy Kuzmak,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1930-01-01T00:00:00Z,http://www.wikidata.org/entity/Q18755245
http://www.wikidata.org/entity/Q90412318,Q90412318,http://www.wikidata.org/entity/Q17281161,Doktor Nauk in Pedagogy,1869-11-03T00:00:00Z,http://www.wikidata.org/entity/Q18237757
http://www.wikidata.org/entity/Q4064017,Ruben Hambardzumyan,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1911-09-10T00:00:00Z,http://www.wikidata.org/entity/Q16398874
http://www.wikidata.org/entity/Q4219520,Leonid Kerber,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1903-06-17T00:00:00Z,http://www.wikidata.org/entity/Q3266235
http://www.wikidata.org/entity/Q16436797,Undasyn Ashimov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1951-03-21T00:00:00Z,http://www.wikidata.org/entity/Q1256541
http://www.wikidata.org/entity/Q26791564,Grigor Atabekov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1908-05-20T00:00:00Z,http://www.wikidata.org/entity/Q15204948
http://www.wikidata.org/entity/Q4065792,Andrea Andreen,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1888-07-11T00:00:00Z,http://www.wikidata.org/entity/Q52262053
http://www.wikidata.org/entity/Q61635,Hugo von Mohl,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1805-04-08T00:00:00Z,http://www.wikidata.org/entity/Q817472
http://www.wikidata.org/entity/Q724434,Alexander Bogomolez,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1881-05-24T00:00:00Z,http://www.wikidata.org/entity/Q4089591
http://www.wikidata.org/entity/Q4077096,Vladimir Balmont,http://www.wikidata.org/entity/Q17281153,Doktor Nauk in Agriculture,1901-02-16T00:00:00Z,http://www.wikidata.org/entity/Q21993555
http://www.wikidata.org/entity/Q19906382,Aleksandr Aleksandrovich Blagonravov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1933-05-24T00:00:00Z,http://www.wikidata.org/entity/Q19906384
http://www.wikidata.org/entity/Q701515,Rachat Älijew,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1962-12-10T00:00:00Z,http://www.wikidata.org/entity/Q4062300
http://www.wikidata.org/entity/Q55104689,Q55104689,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1965-08-28T00:00:00Z,http://www.wikidata.org/entity/Q2622956
http://www.wikidata.org/entity/Q797695,Oleg Bogomolets,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1911-02-26T00:00:00Z,http://www.wikidata.org/entity/Q724434
http://www.wikidata.org/entity/Q66661694,Ashot Aghababyan,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1959-01-01T00:00:00Z,http://www.wikidata.org/entity/Q66662012
http://www.wikidata.org/entity/Q107617951,Andrij Malynowskyj,http://www.wikidata.org/entity/Q17281153,Doktor Nauk in Agriculture,1957-05-24T00:00:00Z,http://www.wikidata.org/entity/Q24844960
http://www.wikidata.org/entity/Q4322665,Dmitry Novikov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1970-09-23T00:00:00Z,http://www.wikidata.org/entity/Q4322619
http://www.wikidata.org/entity/Q20508836,Gurgen Musiiants,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1895-05-28T00:00:00Z,http://www.wikidata.org/entity/Q28332240
http://www.wikidata.org/entity/Q97207,Hermann Gutzmann sen.,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1865-01-29T00:00:00Z,http://www.wikidata.org/entity/Q125284
http://www.wikidata.org/entity/Q56229162,Oleksandr Zelenskyy,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1947-12-23T00:00:00Z,http://www.wikidata.org/entity/Q63637300
http://www.wikidata.org/entity/Q12869892,Pati Chundadse,http://www.wikidata.org/entity/Q17281156,Doktor Nauk in Psychology,1895-01-01T00:00:00Z,http://www.wikidata.org/entity/Q12869273
http://www.wikidata.org/entity/Q70251721,Georgij Sergeevič Chovanskij,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1921-04-21T00:00:00Z,http://www.wikidata.org/entity/Q105535393
http://www.wikidata.org/entity/Q108392716,Renat Yuldashev,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1989-03-29T00:00:00Z,http://www.wikidata.org/entity/Q74835265
http://www.wikidata.org/entity/Q16370720,Areg Israyelyan,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1939-07-01T00:00:00Z,http://www.wikidata.org/entity/Q4204247
http://www.wikidata.org/entity/Q4327599,Sergey Nosov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1961-02-17T00:00:00Z,http://www.wikidata.org/entity/Q22137770
http://www.wikidata.org/entity/Q868081,Olha Bohomolez,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1966-03-22T00:00:00Z,http://www.wikidata.org/entity/Q16162967
http://www.wikidata.org/entity/Q20065674,Q20065674,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1934-01-07T00:00:00Z,http://www.wikidata.org/entity/Q20065675
http://www.wikidata.org/entity/Q64518962,Q64518962,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1877-12-26T00:00:00Z,http://www.wikidata.org/entity/Q109007225
http://www.wikidata.org/entity/Q20512754,Samvel Sargsyan,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1957-09-01T00:00:00Z,http://www.wikidata.org/entity/Q14814947
http://www.wikidata.org/entity/Q314035,Nikolai Nikolajewitsch Polikarpow,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1892-06-09T00:00:00Z,http://www.wikidata.org/entity/Q30974445
http://www.wikidata.org/entity/Q1990688,Nikolai Alexandrowitsch Astrow,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1906-04-28T00:00:00Z,http://www.wikidata.org/entity/Q4071763
http://www.wikidata.org/entity/Q71582783,Vladimir Sukhomlin,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1945-09-18T00:00:00Z,http://www.wikidata.org/entity/Q655494
http://www.wikidata.org/entity/Q20602673,Nikolay Ustinov,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1931-06-14T00:00:00Z,http://www.wikidata.org/entity/Q48067
http://www.wikidata.org/entity/Q4480310,Kurt Fabri,http://www.wikidata.org/entity/Q17281156,Doktor Nauk in Psychology,1923-05-01T00:00:00Z,http://www.wikidata.org/entity/Q5394977
http://www.wikidata.org/entity/Q15728835,Q15728835,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1910-07-26T00:00:00Z,http://www.wikidata.org/entity/Q12113076
http://www.wikidata.org/entity/Q104863909,Andrii V Khotkevich,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1954-05-04T00:00:00Z,http://www.wikidata.org/entity/Q4500374
http://www.wikidata.org/entity/Q20888844,Vadim Gogosov,http://www.wikidata.org/entity/Q17281097,Doktor der Wissenschaften in Physik und Mathematik,1934-09-10T00:00:00Z,http://www.wikidata.org/entity/Q4141060
http://www.wikidata.org/entity/Q4214303,Oleg Gurjewitsch Karatajew,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1941-01-14T00:00:00Z,http://www.wikidata.org/entity/Q4214300
http://www.wikidata.org/entity/Q15079029,Wolodymyr Paton,http://www.wikidata.org/entity/Q17281125,Doktor der technischen Wissenschaften,1917-02-18T00:00:00Z,http://www.wikidata.org/entity/Q1389588
http://www.wikidata.org/entity/Q28499805,Ruben Rudolfowitsch Mowsessjan,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1968-02-11T00:00:00Z,http://www.wikidata.org/entity/Q63037957
http://www.wikidata.org/entity/Q18044711,Q18044711,http://www.wikidata.org/entity/Q17281165,Doktor der Medizinischen Wissenschaft,1904-09-24T00:00:00Z,http://www.wikidata.org/entity/Q19632019
