person,personLabel,value,valueLabel,Born,Mom
http://www.wikidata.org/entity/Q15990118,Thomas LeFanu,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1858-12-09T00:00:00Z,http://www.wikidata.org/entity/Q75796845
http://www.wikidata.org/entity/Q18756713,George Ormerod,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1810-10-12T00:00:00Z,http://www.wikidata.org/entity/Q76247887
http://www.wikidata.org/entity/Q5786143,Hugo Hamilton,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1849-08-21T00:00:00Z,http://www.wikidata.org/entity/Q22338189
http://www.wikidata.org/entity/Q11851568,Anna Halonen,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1978-11-25T00:00:00Z,http://www.wikidata.org/entity/Q29213
http://www.wikidata.org/entity/Q14945542,Henry de Vere Vane,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1854-05-10T00:00:00Z,http://www.wikidata.org/entity/Q75335727
http://www.wikidata.org/entity/Q150910,Charles Parsons,http://www.wikidata.org/entity/Q2091008,Master of Arts,1854-06-13T00:00:00Z,http://www.wikidata.org/entity/Q3296235
http://www.wikidata.org/entity/Q193803,Roger Penrose,http://www.wikidata.org/entity/Q2248352,Doctor of Science,1931-08-08T00:00:00Z,http://www.wikidata.org/entity/Q76245690
http://www.wikidata.org/entity/Q6228037,Hans Hansson Wachtmeister,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1851-04-22T00:00:00Z,http://www.wikidata.org/entity/Q110561322
http://www.wikidata.org/entity/Q83297,"John William Strutt, 3. Baron Rayleigh",http://www.wikidata.org/entity/Q2091008,Master of Arts,1842-11-12T00:00:00Z,http://www.wikidata.org/entity/Q75270794
http://www.wikidata.org/entity/Q11806839,Hugh Gough,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1892-02-22T00:00:00Z,http://www.wikidata.org/entity/Q75335710
http://www.wikidata.org/entity/Q19840880,Adrian Swire,http://www.wikidata.org/entity/Q2091008,Master of Arts,1932-02-15T00:00:00Z,http://www.wikidata.org/entity/Q76090671
http://www.wikidata.org/entity/Q18910689,George Somes Layard,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1857-02-04T00:00:00Z,http://www.wikidata.org/entity/Q76103662
http://www.wikidata.org/entity/Q76035314,Donough O'Brien,http://www.wikidata.org/entity/Q2091008,Master of Arts,1870-08-29T00:00:00Z,http://www.wikidata.org/entity/Q75271427
http://www.wikidata.org/entity/Q8963,Johannes Kepler,http://www.wikidata.org/entity/Q2091008,Master of Arts,1572-01-06T00:00:00Z,http://www.wikidata.org/entity/Q67158
http://www.wikidata.org/entity/Q104326,Jean-Michel Jarre,http://www.wikidata.org/entity/Q2248352,Doctor of Science,1948-08-24T00:00:00Z,http://www.wikidata.org/entity/Q3080737
http://www.wikidata.org/entity/Q63258089,Robert Gage,http://www.wikidata.org/entity/Q2091008,Master of Arts,1813-07-30T00:00:00Z,http://www.wikidata.org/entity/Q75900123
http://www.wikidata.org/entity/Q18526968,Frederick Church,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1854-01-01T00:00:00Z,http://www.wikidata.org/entity/Q96081005
http://www.wikidata.org/entity/Q55587544,Wilbraham Fitzjohn Trench,http://www.wikidata.org/entity/Q2091008,Master of Arts,1873-02-22T00:00:00Z,http://www.wikidata.org/entity/Q75286560
http://www.wikidata.org/entity/Q29378358,"Jocelyn Pelham, 6th Earl of Chichester",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1871-05-21T00:00:00Z,http://www.wikidata.org/entity/Q75272972
http://www.wikidata.org/entity/Q18668422,David FitzGerald,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1847-01-14T00:00:00Z,http://www.wikidata.org/entity/Q75597498
http://www.wikidata.org/entity/Q157208,"William Henry Cavendish-Bentinck, 3. Duke of Portland",http://www.wikidata.org/entity/Q2091008,Master of Arts,1738-04-14T00:00:00Z,http://www.wikidata.org/entity/Q126219
http://www.wikidata.org/entity/Q15997034,"Morgan William O'Donovan, The O'Donovan",http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1861-02-11T00:00:00Z,http://www.wikidata.org/entity/Q75711251
http://www.wikidata.org/entity/Q25928022,Edward Mallet Young,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1839-01-24T00:00:00Z,http://www.wikidata.org/entity/Q76222462
http://www.wikidata.org/entity/Q70569171,Zbigniew Fingas,http://www.wikidata.org/entity/Q2091008,Master of Arts,1986-01-01T00:00:00Z,http://www.wikidata.org/entity/Q254032
http://www.wikidata.org/entity/Q159430,Arthur Cayley,http://www.wikidata.org/entity/Q2248352,Doctor of Science,1821-08-16T00:00:00Z,http://www.wikidata.org/entity/Q75559481
http://www.wikidata.org/entity/Q75410106,John Ashley-Cooper,http://www.wikidata.org/entity/Q2091008,Master of Arts,1915-10-05T00:00:00Z,http://www.wikidata.org/entity/Q3687591
http://www.wikidata.org/entity/Q76073909,Oenone Dundas,http://www.wikidata.org/entity/Q2091008,Master of Arts,1927-09-26T00:00:00Z,http://www.wikidata.org/entity/Q76073908
http://www.wikidata.org/entity/Q6228002,Hans Wachtmeister the elder,http://www.wikidata.org/entity/Q2085288,Bachelor der Theologie,1793-07-31T00:00:00Z,http://www.wikidata.org/entity/Q110303174
http://www.wikidata.org/entity/Q76088900,Robert Colvile,http://www.wikidata.org/entity/Q2091008,Master of Arts,1980-06-23T00:00:00Z,http://www.wikidata.org/entity/Q76088898
http://www.wikidata.org/entity/Q16943939,Beaver Henry Blacker,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1821-05-31T00:00:00Z,http://www.wikidata.org/entity/Q75653356
http://www.wikidata.org/entity/Q25689,"Francis Russell, 7. Duke of Bedford",http://www.wikidata.org/entity/Q2091008,Master of Arts,1788-05-13T00:00:00Z,http://www.wikidata.org/entity/Q75261341
http://www.wikidata.org/entity/Q21176737,Robert Vere de Vere,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1872-07-13T00:00:00Z,http://www.wikidata.org/entity/Q76034916
http://www.wikidata.org/entity/Q7175551,Peter Lødrup,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1932-08-29T00:00:00Z,http://www.wikidata.org/entity/Q16183462
http://www.wikidata.org/entity/Q6515796,Monica Mæland,http://www.wikidata.org/entity/Q1771785,Candidate of Law,1968-02-06T00:00:00Z,http://www.wikidata.org/entity/Q106112855
http://www.wikidata.org/entity/Q9047,Gottfried Wilhelm Leibniz,http://www.wikidata.org/entity/Q2091008,Master of Arts,1646-07-01T00:00:00Z,http://www.wikidata.org/entity/Q27156694
http://www.wikidata.org/entity/Q47490771,Maurice J. Nutt,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1962-12-20T00:00:00Z,http://www.wikidata.org/entity/Q99516994
http://www.wikidata.org/entity/Q75259414,George Frederick John Marsham,http://www.wikidata.org/entity/Q2091008,Master of Arts,1806-06-02T00:00:00Z,http://www.wikidata.org/entity/Q49778638
http://www.wikidata.org/entity/Q24170113,Charles Arundell St. John Mildmay,http://www.wikidata.org/entity/Q1765120,Bachelor of Arts,1820-06-21T00:00:00Z,http://www.wikidata.org/entity/Q75281230
