person,value,valueLabel,Born,Child
http://www.wikidata.org/entity/Q555945,http://www.wikidata.org/entity/Q121594,professor,1920-05-10T00:00:00Z,http://www.wikidata.org/entity/Q95233630
http://www.wikidata.org/entity/Q1581828,http://www.wikidata.org/entity/Q121594,professor,1917-10-08T00:00:00Z,http://www.wikidata.org/entity/Q1249827
http://www.wikidata.org/entity/Q1130079,http://www.wikidata.org/entity/Q121594,professor,1933-09-23T00:00:00Z,http://www.wikidata.org/entity/Q108584256
http://www.wikidata.org/entity/Q2080045,http://www.wikidata.org/entity/Q121594,professor,1933-04-21T00:00:00Z,http://www.wikidata.org/entity/Q61711169
http://www.wikidata.org/entity/Q2080045,http://www.wikidata.org/entity/Q121594,professor,1933-04-21T00:00:00Z,http://www.wikidata.org/entity/Q65498813
http://www.wikidata.org/entity/Q2343513,http://www.wikidata.org/entity/Q121594,professor,1913-09-26T00:00:00Z,http://www.wikidata.org/entity/Q73694
http://www.wikidata.org/entity/Q2343513,http://www.wikidata.org/entity/Q121594,professor,1913-09-26T00:00:00Z,http://www.wikidata.org/entity/Q41512229
http://www.wikidata.org/entity/Q2038532,http://www.wikidata.org/entity/Q121594,professor,1910-11-07T00:00:00Z,http://www.wikidata.org/entity/Q7942631
http://www.wikidata.org/entity/Q2038532,http://www.wikidata.org/entity/Q121594,professor,1910-10-07T00:00:00Z,http://www.wikidata.org/entity/Q7942631
http://www.wikidata.org/entity/Q2223288,http://www.wikidata.org/entity/Q121594,professor,1931-07-05T00:00:00Z,http://www.wikidata.org/entity/Q47634361
http://www.wikidata.org/entity/Q3506276,http://www.wikidata.org/entity/Q121594,professor,1938-03-26T00:00:00Z,http://www.wikidata.org/entity/Q11052724
http://www.wikidata.org/entity/Q4062994,http://www.wikidata.org/entity/Q121594,professor,1901-10-15T00:00:00Z,http://www.wikidata.org/entity/Q16381656
http://www.wikidata.org/entity/Q3506276,http://www.wikidata.org/entity/Q121594,professor,1938-03-26T00:00:00Z,http://www.wikidata.org/entity/Q50918058
http://www.wikidata.org/entity/Q4062994,http://www.wikidata.org/entity/Q121594,professor,1901-10-15T00:00:00Z,http://www.wikidata.org/entity/Q20511743
http://www.wikidata.org/entity/Q4074471,http://www.wikidata.org/entity/Q121594,professor,1947-05-05T00:00:00Z,http://www.wikidata.org/entity/Q22677766
http://www.wikidata.org/entity/Q4088039,http://www.wikidata.org/entity/Q121594,professor,1946-08-29T00:00:00Z,http://www.wikidata.org/entity/Q29571047
http://www.wikidata.org/entity/Q3541430,http://www.wikidata.org/entity/Q121594,professor,1921-07-24T00:00:00Z,http://www.wikidata.org/entity/Q980927
http://www.wikidata.org/entity/Q3541430,http://www.wikidata.org/entity/Q121594,professor,1921-07-24T00:00:00Z,http://www.wikidata.org/entity/Q61128947
http://www.wikidata.org/entity/Q4075393,http://www.wikidata.org/entity/Q121594,professor,1933-09-11T00:00:00Z,http://www.wikidata.org/entity/Q4075392
http://www.wikidata.org/entity/Q2978546,http://www.wikidata.org/entity/Q121594,professor,1907-11-25T00:00:00Z,http://www.wikidata.org/entity/Q28921786
http://www.wikidata.org/entity/Q2978546,http://www.wikidata.org/entity/Q121594,professor,1907-11-15T00:00:00Z,http://www.wikidata.org/entity/Q28921786
http://www.wikidata.org/entity/Q2884020,http://www.wikidata.org/entity/Q121594,professor,1950-04-05T00:00:00Z,http://www.wikidata.org/entity/Q73543708
http://www.wikidata.org/entity/Q4078774,http://www.wikidata.org/entity/Q121594,professor,1927-09-22T00:00:00Z,http://www.wikidata.org/entity/Q4078776
http://www.wikidata.org/entity/Q3655901,http://www.wikidata.org/entity/Q121594,professor,1949-10-02T00:00:00Z,http://www.wikidata.org/entity/Q104471237
http://www.wikidata.org/entity/Q4114278,http://www.wikidata.org/entity/Q121594,professor,1934-03-22T00:00:00Z,http://www.wikidata.org/entity/Q24352829
http://www.wikidata.org/entity/Q4125633,http://www.wikidata.org/entity/Q121594,professor,1935-10-18T00:00:00Z,http://www.wikidata.org/entity/Q2164523
http://www.wikidata.org/entity/Q4408656,http://www.wikidata.org/entity/Q121594,professor,1926-04-06T00:00:00Z,http://www.wikidata.org/entity/Q30276362
